,ID,text,labels
7215,1341011228655808514t,"Media Blackout : #Moderna ’ s FDA Report Lists 13 Deaths in Vaccine Trials - 6 in Vaccine Group , 7 in Placebo Brand New Report : #ActivistPost ",side-effect
6309,1337383750691336193t,#Sedition They are now saying that you will have to have the #covid vaccine and carry around a card . The counterfeit market for #covid vaccines begins now .,mandatory
9442,1375789036619632640t," Eat well , stay active , breath fresh air , don ’ t medicate especially vaccines and pharmaceuticals , be social with family and friends , have fun . I ’ ve done this and people always say I look 20 years younger . My kids have never been vaccinated and are the healthiest kids on our street",unnecessary
7412,1354638874362826752t,  You might want to look into it a little more . It's barely even a vaccine but mRNA vaccine technology that has not been tested long - term and may worsen infection through pathogenic priming . And could cause autoimmune disease and doesn't stop transmission . ,rushed
3972,1354513426199044101t,"My elderly , ill Mother is now refusing to get the vaccine . Her argument is if the government really cared about the elderly , they wouldn ’ t be making it THIS hard for them to receive it . Multiple family members including myself have failed to get her or my Dad on the list .",political
1896,1374447026432143366t,#masks do nothing physical - they are just psychological chains to keep the #sheeple enslave to #vaccine and tracking mandate all over the world #COVID19 bullshit is the #JimJones #koolaid of 2020s,conspiracy
9505,1289994854806827012t,   Fake test cannot isolate Covid - 19 . We don't want a Bill Gates vaccine . You have one if you want but don't force the rest of us .,mandatory pharma
1089,1366051975465480193t, And potentially the most worrying thing - the NHS refusing treatments / visits to those not vaccinated . This is when most people will have to give in ...,mandatory
9817,1365462137104130052t,"Funny how we've been vaccinated against the seasonal flu since the 1930 ' s yet no herd immunity , vaccination for new strains required every year . Bubonic plague , Spanish flu , Swine flu , Bird flu , SARS - CoV - 1 , no vaccine ... herd immunity , no further action required !",unnecessary
2215,1338505026105434113t, Not sure if you saw this 💉 There are fears over how safe Pfizer's COVID vaccine is after two British healthcare workers who were among the first in the world to receive it on Tuesday went into anaphylactic shock hours later  ,ineffective
8369,1452103189034151939t,“ A 26 - year - old female had severe headache and severe thrombocytopenia 8 days after administration of the ChAdOx 1 nCoV - 19 vaccine developed by AstraZeneca . ” ,side-effect
77,1346782720907591681t,   as Prof Raina MacIntyre has pointed out the  vaccine will NOT allow us to achieve herd immunity . Why are YOU pursuing the use of this vaccine when there are two other vaccines - currently available - that are 30 % more effective ? ? ?,ineffective
2664,1338473543047262209t,     don't slander me with tinfoil schizo nonsense . you didnt dispute anything i actually said . there has never been a safe or effective mrna vaccine . this one rushed with all safety standards gone . pfizer admits allergic response & death in the trials . dangerous product . steer clear,ineffective rushed
2037,1374681544703508483t, Tha vaccine isn ’ t grow prevention . It ’ s to help you after you catch the stuff,ineffective
6882,1315864630317789185t,"  As far as I can tell , scientists have been working on a Corona virus vaccine for the best part of 30 years with little to show for it . That now , suddenly , we should be 18 months away from one should be viewed with suspicion at best .",rushed
855,1221203575876907009t,   I wouldn ’ t be against vaccines if they didn ’ t continue adding more and more to children ’ s vaccine schedule . There are also many harmful ingredients that are hurting many children and teens . You can blindly follow the pack if you ’ d like .,ingredients
3628,1375024459925573633t," We have never sunk so low . Do you need to show ' Flu ' vaccination records to swim or enter a shop ? Divisive , hateful , unscientific , hysteria - induced nonsense . #NOVaccinePassports",mandatory
4881,1375015697437356032t,"   You are under the impression vaccines mean you wont catch covid which is not proven . People can catch it more than once for example , also immunity isnt assured for ever by a vaccine and no one is clear how long it will last .",ineffective
